频道名称,分类,状态,响应时间,URL
CCTV2,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV2,央视频道,online,0.28s,http://60.214.104.110:352/tsfile/live/0002_1.m3u8
CCTV2,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv2.m3u8
CCTV2,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv2.m3u8
CCTV2,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0002_1.m3u8
CCTV2,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0002_1.m3u8
CCTV2,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0002_1.m3u8
CCTV2,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0002_1.m3u8
CCTV2,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0002_1.m3u8
CCTV2,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv2.m3u8
CCTV2,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0002_1.m3u8
CCTV2,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0002_1.m3u8
CCTV3,央视频道,offline,N/A,http://zjzcf.synology.me:35455/gaoma/cctv3.m3u8
CCTV3,央视频道,online,0.52s,http://124.93.18.237:9002//hls/3/index.m3u8
CCTV3,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,offline,6.05s,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8
CCTV3,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv3.m3u8
CCTV3,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv3.m3u8
CCTV3,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0003_1.m3u8
CCTV3,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv3.m3u8
CCTV3,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,online,0.86s,http://110.7.131.79:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0003_1.m3u8
CCTV3,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv3.m3u8
CCTV4,央视频道,online,0.52s,http://124.93.18.237:9002//hls/4/index.m3u8
CCTV4,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,offline,N/A,http://61.156.228.12:8154/tsfile/live/0004_1.m3u8
CCTV4,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv4.m3u8
CCTV4,央视频道,online,0.29s,http://60.214.104.110:352/tsfile/live/0004_1.m3u8
CCTV4,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0004_1.m3u8
CCTV4,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0004_1.m3u8
CCTV4,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv4.m3u8
CCTV4,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv4.m3u8
CCTV5,央视频道,offline,N/A,http://zjzcf.synology.me:35455/gaoma/cctv5.m3u8
CCTV5,央视频道,online,0.26s,http://116.9.204.242:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,online,0.52s,http://124.93.18.237:9002//hls/5/index.m3u8
CCTV5,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,offline,8.97s,http://61.156.228.12:8154/tsfile/live/0005_1.m3u8
CCTV5,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv5.m3u8
CCTV5,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv5.m3u8
CCTV5,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv5.m3u8
CCTV5,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,online,0.30s,http://110.7.131.231:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0005_1.m3u8
CCTV5,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0005_1.m3u8
CCTV5,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0005_1.m3u8
CCTV6,央视频道,online,0.52s,http://124.93.18.237:9002//hls/6/index.m3u8
CCTV6,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,offline,3.18s,http://61.156.228.12:8154/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0006_1.m3u8
CCTV6,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0006_1.m3u8
CCTV6,央视频道,online,0.84s,http://110.7.131.79:9901/tsfile/live/0006_1.m3u8
CCTV7,央视频道,online,0.83s,http://182.91.124.60:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,offline,N/A,http://61.156.228.12:8154/tsfile/live/0007_1.m3u8
CCTV7,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv7.m3u8
CCTV7,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv7.m3u8
CCTV7,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,online,0.83s,http://110.7.131.4:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,online,0.79s,http://110.7.131.193:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0007_1.m3u8
CCTV7,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0007_1.m3u8
CCTV7,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv7.m3u8
CCTV8,央视频道,offline,N/A,http://zjzcf.synology.me:35455/gaoma/cctv8.m3u8
CCTV8,央视频道,online,0.52s,http://124.93.18.237:9002//hls/8/index.m3u8
CCTV8,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,offline,9.73s,http://61.156.228.12:8154/tsfile/live/0008_1.m3u8
CCTV8,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv8.m3u8
CCTV8,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv8.m3u8
CCTV8,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv8.m3u8
CCTV8,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0008_1.m3u8
CCTV8,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0008_1.m3u8
CCTV8,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0008_1.m3u8
CCTV9,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0009_1.m3u8
CCTV9,央视频道,offline,3.62s,http://61.156.228.12:8154/tsfile/live/0009_1.m3u8
CCTV9,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv9.m3u8
CCTV9,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv9.m3u8
CCTV9,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0008_2.m3u8
CCTV9,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0008_2.m3u8
CCTV9,央视频道,online,0.55s,http://60.214.104.110:352/tsfile/live/0009_1.m3u8
CCTV9,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0008_2.m3u8
CCTV9,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0009_1.m3u8
CCTV9,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0008_2.m3u8
CCTV9,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv9.m3u8
CCTV9,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0008_2.m3u8
CCTV9,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0008_2.m3u8
CCTV9,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv9.m3u8
CCTV10,央视频道,online,0.50s,http://116.9.204.242:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,offline,N/A,http://61.156.228.12:8154/tsfile/live/0010_1.m3u8
CCTV10,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv10.m3u8
CCTV10,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv10.m3u8
CCTV10,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv10.m3u8
CCTV10,央视频道,online,0.27s,http://60.214.104.110:352/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0010_1.m3u8
CCTV10,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0010_1.m3u8
CCTV11,央视频道,online,1.02s,http://116.9.204.242:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,online,0.26s,http://182.91.124.60:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv11.m3u8
CCTV11,央视频道,online,0.52s,http://124.93.18.237:9002//hls/11/index.m3u8
CCTV11,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv11.m3u8
CCTV11,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv11.m3u8
CCTV11,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0011_1.m3u8
CCTV11,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,online,0.30s,http://110.7.131.146:9901/tsfile/live/0011_1.m3u8
CCTV11,央视频道,offline,8.06s,http://61.156.228.12:8154/tsfile/live/0011_1.m3u8
CCTV12,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0012_1.m3u8
CCTV12,央视频道,online,1.93s,http://61.156.228.12:8154/tsfile/live/0012_1.m3u8
CCTV12,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv12.m3u8
CCTV12,央视频道,online,0.52s,http://124.93.18.237:9002//hls/12/index.m3u8
CCTV12,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv12.m3u8
CCTV12,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv12.m3u8
CCTV12,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0012_1.m3u8
CCTV12,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0012_1.m3u8
CCTV12,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0012_1.m3u8
CCTV12,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0012_1.m3u8
CCTV12,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0012_1.m3u8
CCTV12,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0012_1.m3u8
CCTV12,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0012_1.m3u8
CCTV13,央视频道,online,0.26s,http://116.9.204.242:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,offline,10.47s,http://123.138.22.30:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,offline,10.38s,http://61.156.228.12:8154/tsfile/live/0013_1.m3u8
CCTV13,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv13.m3u8
CCTV13,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv13.m3u8
CCTV13,央视频道,online,0.52s,http://124.93.18.237:9002//hls/13/index.m3u8
CCTV13,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0013_1.m3u8
CCTV13,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0013_1.m3u8
CCTV13,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv13.m3u8
CCTV13,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv13.m3u8
CCTV14,央视频道,online,0.25s,http://116.9.204.242:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,offline,8.77s,http://61.156.228.12:8154/tsfile/live/0014_1.m3u8
CCTV14,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv14.m3u8
CCTV14,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv14.m3u8
CCTV14,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv14.m3u8
CCTV14,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0014_1.m3u8
CCTV14,央视频道,online,0.26s,http://110.7.131.193:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,online,0.75s,http://110.7.131.4:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0014_1.m3u8
CCTV14,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0014_1.m3u8
CCTV15,央视频道,online,0.26s,http://116.9.204.242:9901/tsfile/live/0015_1.m3u8
CCTV15,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0015_1.m3u8
CCTV15,央视频道,online,1.18s,http://61.156.228.12:8154/tsfile/live/0015_1.m3u8
CCTV15,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv15.m3u8
CCTV15,央视频道,online,0.52s,http://124.93.18.237:9002//hls/15/index.m3u8
CCTV15,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0015_1.m3u8
CCTV15,央视频道,online,0.29s,http://110.7.131.146:9901/tsfile/live/0014_2.m3u8
CCTV15,央视频道,online,0.26s,http://110.7.131.79:9901/tsfile/live/0014_2.m3u8
CCTV15,央视频道,online,0.26s,http://110.7.131.40:9901/tsfile/live/0014_2.m3u8
CCTV15,央视频道,online,0.25s,http://110.7.131.193:9901/tsfile/live/0014_2.m3u8
CCTV15,央视频道,online,0.28s,http://110.7.131.231:9901/tsfile/live/0014_2.m3u8
CCTV15,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv15.m3u8
CCTV15,央视频道,online,0.27s,http://110.7.131.4:9901/tsfile/live/0014_2.m3u8
CCTV16,央视频道,online,0.52s,http://124.93.18.237:9002//hls/16/index.m3u8
CCTV16,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv16.m3u8
CCTV16,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv16.m3u8
CCTV16,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv16.m3u8
CCTV17,央视频道,online,1.19s,http://14.212.185.146:9901/tsfile/live/0017_1.m3u8
CCTV17,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0017_1.m3u8
CCTV17,央视频道,offline,N/A,http://61.156.228.12:8154/tsfile/live/0019_1.m3u8
CCTV17,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv17.m3u8
CCTV17,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv17.m3u8
CCTV17,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv17.m3u8
CCTV17,央视频道,online,0.52s,http://124.93.18.237:9002//hls/17/index.m3u8
CCTV17,央视频道,online,0.55s,http://60.214.104.110:352/tsfile/live/0019_1.m3u8
CCTV17,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0019_1.m3u8
CCTV2财经,央视频道,online,0.25s,http://14.212.185.146:9901/tsfile/live/0002_1.m3u8
CCTV4中文国际,央视频道,online,0.48s,http://14.212.185.146:9901/tsfile/live/0004_1.m3u8
CCTV5+体育赛事,央视频道,online,0.25s,http://14.212.185.146:9901/tsfile/live/0018_1.m3u8
CCTV5+体育赛事,央视频道,offline,N/A,http://zjzcf.synology.me:35455/gaoma/cctv5p.m3u8
CCTV5+体育赛事,央视频道,offline,10.25s,http://61.156.228.12:8154/tsfile/live/0016_1.m3u8
CCTV5+体育赛事,央视频道,offline,N/A,http://huashetou.fun:35455/gaoma/cctv5p.m3u8
CCTV5+体育赛事,央视频道,offline,N/A,http://home.kuaidi521.com:35455/gaoma/cctv5p.m3u8
CCTV5+体育赛事,央视频道,online,0.52s,http://124.93.18.237:9002//hls/18/index.m3u8
CCTV5+体育赛事,央视频道,online,0.28s,http://60.214.104.110:352/tsfile/live/0016_1.m3u8
CCTV5+体育赛事,央视频道,offline,N/A,http://221.2.148.205:8154/tsfile/live/0016_1.m3u8
CCTV5+体育赛事,央视频道,offline,N/A,http://xiaoya.crccxw.top:35455/gaoma/cctv5p.m3u8
CCTV7国防军事,央视频道,online,0.24s,http://14.212.185.146:9901/tsfile/live/0007_1.m3u8
CCTV12社会与法,央视频道,online,0.24s,http://14.212.185.146:9901/tsfile/live/0012_1.m3u8
CCTV15音乐,央视频道,online,0.25s,http://14.212.185.146:9901/tsfile/live/0015_1.m3u8
CCTV4K超,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv4k.m3u8
CCTV8K,央视频道,offline,N/A,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
CCTVNEWS,央视频道,offline,N/A,http://123.138.22.30:9901/tsfile/live/0016_1.m3u8
CCTV1,央视频道,online,0.52s,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,0.88s,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8
CCTV1,央视频道,offline,N/A,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,0.63s,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8
CCTV1,央视频道,online,0.54s,http://61.157.139.15:9901/tsfile/live/2371_1.m3u8
CCTV1,央视频道,online,0.58s,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,offline,9.41s,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,offline,N/A,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8
CCTV1,央视频道,online,0.62s,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,1.86s,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,1.59s,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,0.48s,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8
CCTV1,央视频道,online,0.88s,http://171.120.110.203:9003//hls/1/index.m3u8
CCTV1,央视频道,offline,1.94s,http://8.138.7.223/tv/ptbtv.php?id=27
CCTV1,央视频道,online,0.55s,http://58.213.65.146:352/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,1.54s,http://58.220.211.90:352/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,0.43s,http://39.164.180.36:19901/tsfile/live/0001_2.m3u8
CCTV1,央视频道,offline,9.97s,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8
CCTV1,央视频道,online,0.54s,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,央视频道,offline,N/A,http://nas.suntao.online:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV1,央视频道,online,0.49s,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV1,央视频道,offline,N/A,http://36.105.100.208:35455/gaoma/cctv1.m3u8
CCTV1,央视频道,offline,N/A,http://dsj.motem.top:8880/gaoma/cctv1.m3u8
CCTV1,央视频道,online,3.85s,http://eu.huohuoaa.tech:1025/Smart.php?id=cctv1
CCTV1,央视频道,offline,N/A,http://nas.suntao.online:35455/gaoma/cctv1.m3u8
CCTV1,央视频道,offline,5.73s,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1
CCTV1,央视频道,online,0.24s,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
CCTV1,央视频道,online,0.55s,http://60.172.130.146:352/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,0.74s,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV1,央视频道,offline,8.43s,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,央视频道,offline,N/A,http://nas.suntao.online:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1,央视频道,offline,10.54s,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=c3b8fa&tk=822270345d4c
CCTV1,央视频道,online,0.84s,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
CCTV1,央视频道,online,2.03s,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8
CCTV1,央视频道,online,0.90s,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8
CCTV1,央视频道,offline,2.64s,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,offline,8.27s,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,online,0.55s,http://118.122.189.74:9901/tsfile/live/0001_1.m3u8
CCTV1,央视频道,offline,9.32s,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8
