频道名称,分类,状态,响应时间,URL
北京新闻,北京综合,offline,N/A,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,offline,N/A,http://xiaoya.crccxw.top:35455/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,offline,N/A,http://yc.myds.me:35455/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,offline,N/A,http://zjzcf.synology.me:35455/bptv/10000100000000050000000003870780.m3u8
北京体育休闲,北京综合,offline,N/A,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870779.m3u8
北京体育休闲,北京综合,offline,N/A,http://xiaoya.crccxw.top:35455/bptv/10000100000000050000000003870779.m3u8
北京体育休闲,北京综合,offline,N/A,http://yc.myds.me:35455/bptv/10000100000000050000000003870779.m3u8
北京卡酷少儿,北京综合,offline,N/A,http://yc.myds.me:35455/itv/5000000011000265008.m3u8?cdn=bestzb
NewTV古装剧场,北京综合,offline,N/A,http://yc.myds.me:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV-军旅剧场,北京综合,offline,N/A,http://yc.myds.me:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
北京新闻,北京综合,online,0.38s,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京新闻,北京综合,online,1.95s,https://ls.qingting.fm/live/339/64k.m3u8
北京新闻,北京综合,offline,N/A,http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~ncK5uEAdYwWMsf8WJWI1mQ~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO_LSIQh_h2P54Cz-MqgJqC%2CEND
北京新闻,北京综合,offline,N/A,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
北京新闻,北京综合,offline,N/A,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226512/1.m3u8
北京新闻,北京综合,offline,N/A,http://dsj.motem.top:8880/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,offline,N/A,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
北京新闻,北京综合,offline,N/A,http://nas.suntao.online:35455/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,online,0.86s,https://brtv-radiolive.rbc.cn/alive/fm945.m3u8
北京新闻,北京综合,online,0.67s,https://ls.qingting.fm/live/339/64k.m3u8#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748552353&sign=a186bfcfa9787f9a7e0d9e9cc9b94163#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748635212&sign=9c5dd1100b892ae351bbfebedd701156
北京新闻,北京综合,online,0.03s,http://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京新闻,北京综合,offline,N/A,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~ncK5uEAdYwWMsf8WJWI1mQ~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO_LSIQh_h2P54Cz-MqgJqC%2CEND
北京新闻,北京综合,offline,N/A,http://beifeng.site:4000/rtp/239.3.1.159:8000
北京新闻,北京综合,offline,1.46s,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv9_1/index.m3u8?adapt=0&BR=audio
北京新闻,北京综合,online,1.49s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748728812&sign=97f9c8e79268346d01256f3f7b4a26d4
北京新闻,北京综合,online,0.41s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748685612&sign=4660de8c040ca0de6cbd127f961d2ff7
北京新闻,北京综合,offline,N/A,http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
北京新闻,北京综合,online,0.66s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748721612&sign=947a68da9f232378640b62c043db7acf
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748120414&sign=090861bb80b58207515f098acf07c19e
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748206755&sign=476159a9d0cc9811118762f91f412811
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748296810&sign=db7da41dbfa96f5a49623cb79dd1be14
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748250012&sign=03ebf9142d11dfeff4019876ed5c081f
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748293212&sign=e82e2d5b8409e532d9f6803f7420d4b3
北京新闻,北京综合,online,0.58s,http://live.xmcdn.com/live/91/64.m3u8
北京新闻,北京综合,online,0.28s,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv9_1/index.m3u8?adapt=0&amp%3BBR=audio
北京新闻,北京综合,online,0.26s,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv9_1/index.m3u8?adapt=0&amp%3Bamp%3BBR=audio
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748210410&sign=1b2626f17c396c0a232784e5c1575eda
北京新闻,北京综合,offline,N/A,http://missyao.com:35455/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,offline,N/A,http://47.243.110.210:28001/bptv/10000100000000050000000003870780.m3u8
北京新闻,北京综合,offline,N/A,http://live.funhillrm.com/5/sd/live.m3u8?zbeid=
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748552353&sign=a186bfcfa9787f9a7e0d9e9cc9b94163
北京新闻,北京综合,online,0.22s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748635212&sign=9c5dd1100b892ae351bbfebedd701156
北京新闻,北京综合,offline,N/A,http://tnvcn.com:8012/rtp/239.3.1.159:8000
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1748466011&sign=5e0606b286586769550a465939223e4c
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1744279210&sign=b050dc562fdca59f51ae2b2be0826703
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1744318755&sign=baea01429efdcb1d40dad8e1c37201d0
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1744405211&sign=a3cb7259dd8df337a7d6e82dec503c7b
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1744448411&sign=71cdb9d389c0f65ea85b77d38d94c873
北京新闻,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=1744491556&sign=d7cf3d06299d103baf349a1b53b5f699
北京新闻,北京综合,offline,N/A,rtp://239.3.1.159:8000
北京生活,北京综合,online,0.31s,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv7_1/index.m3u8?adapt=0&BR=audio
北京生活,北京综合,offline,N/A,http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~s-PVNcPJsjr_oBdcXGT40g~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMWvZ0r6eMXcXJOGrCpJiq1%2CEND
北京生活,北京综合,offline,N/A,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8
北京生活,北京综合,offline,N/A,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226561/1.m3u8
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748552353&sign=7d363bccac4159dc12a332997c9f1b61#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748635211&sign=aabcb4d02cbd7f9b2d963b306c75751b
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1744405210&sign=aad60171b04a09487a41311f16b624cf
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1744448411&sign=27283e7a5e2543f3d81e01012fd4d525
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1744491556&sign=83faf74d434424ffa20efffd33433ba6
北京生活,北京综合,offline,N/A,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~s-PVNcPJsjr_oBdcXGT40g~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMWvZ0r6eMXcXJOGrCpJiq1%2CEND
北京生活,北京综合,offline,N/A,http://beifeng.site:4000/rtp/239.3.1.117:8000
北京生活,北京综合,online,0.21s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748728811&sign=0cba445acfcb656f0cc94ed810f5713e
北京生活,北京综合,online,0.21s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748685611&sign=df3ac1b1784a5eb0c063231bd43f2488
北京生活,北京综合,offline,N/A,http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8
北京生活,北京综合,offline,N/A,https://migu1.188766.xyz/?migutoken=83b925857b89ec3b17836e0f8f7f02f2&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=bj
北京生活,北京综合,offline,N/A,http://ikuai.zlsip.top:4022/rtp/239.3.1.117:8000
北京生活,北京综合,offline,N/A,https://migu1.188766.xyz/?migutoken=2a838e272a0ca0393b5b8d6e69fc36bb&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=bj
北京生活,北京综合,offline,N/A,https://migu1.188766.xyz/?migutoken=5b46917ef0b3247921d45b3b63f4c873&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=bj
北京生活,北京综合,online,0.87s,https://migu.777189.xyz/?migutoken=4d8351b7de595830e9870e04ff0784ce&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=bj
北京生活,北京综合,online,0.21s,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748721612&sign=f702085a1b42b585eb4c5a57a8e0f9f9
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748206754&sign=181d404af56cd312041a5879a42034eb
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748296810&sign=9ae9a1a08d07248ea028b5e1bea2a1f7
北京生活,北京综合,offline,N/A,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8?time=1748250011&sign=7b46f5237079ea47681d0841fbeeaf30
